SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
		2	20043	57671.42857	39694.49715	85656.54649	0.285492315	0.285563194	0.968504922	0.014507739	1			0.013824877	1	0.79313721	0.824996414	Agriculture and natural resources
		2	117404	87745.73055	60586.33776	120000	0.388847749	0.387924409	0.956773826	0.098744403	1			0.090883711	1	0.884532869	0.922016554	Architecture and engineering
		2	37029	48051.2334	31457.14286	72000	0.234273587	0.243506846	0.933919354	0.032627541	1			0.036645216	1	0.662810847	0.731561478	Arts
		2	63084	70000	45387.88257	117440	0.610712438	0.59522677	0.967336728	0.051588778	1			0.05127617	1	0.818421069	0.871537529	Biology and life sciences
		2	266295	65011.42857	43324.797	100280.8349	0.226430517	0.223379277	0.950936077	0.231067881	1			0.218659366	1	0.828331653	0.864082769	Business
		2	46714	54318.78558	37605.31309	83567.36243	0.212382869	0.21300922	0.942229286	0.040573976	1			0.041471861	1	0.759211308	0.810274527	Communications and journalism
		2	66822	79000	52428.57143	109051.4286	0.330767741	0.335347376	0.953979725	0.058387947	1			0.055308558	1	0.864397883	0.908287148	"Computers, statistics, and mathematics"
		2	124669	50000	37605.31309	66853.88994	0.474279966	0.464691733	0.968855326	0.099423774	1			0.111503038	1	0.774711428	0.819984986	Education
		2	87407	67050.28107	48069.89382	92838.85072	0.349129866	0.341441625	0.975578281	0.073771892	1			0.0748899	1	0.841818937	0.899019384	Health
		2	105641	55363.37761	37100	85656.54649	0.434837471	0.42835145	0.94704418	0.087187504	1			0.092706504	1	0.733273502	0.800079266	Humanities and liberal arts
		2	25806	52229.60152	36103.9975	77365.70893	0.250866429	0.249741856	0.957693231	0.021689783	1			0.022593875	1	0.741731981	0.788597724	"Industrial arts, consumer <br> services, and recreation"
		2	27121	56407.96964	38797.14286	82523.42286	0.241549104	0.240960378	0.952636533	0.024026391	1			0.022624025	1	0.809716884	0.8275156	Law and public policy
		2	39854	75000	47450.96815	115000	0.520267375	0.511817857	0.962570798	0.034086989	1			0.03284875	1	0.835465849	0.879052441	Physical sciences
		2	66743	51577.13929	36103.9975	75210.62619	0.474001049	0.466844302	0.950391832	0.056694688	1			0.05943624	1	0.742995665	0.792502657	Psychology and social work
		2	90264	67050.28107	42500	104857.1429	0.424956023	0.419084719	0.948590765	0.075620715	1			0.07532791	1	0.799721427	0.857177799	Social sciences
	General Agriculture	3	3086	53000	36560.72106	82837.14286	0.262094666	0.259424753	0.968254749	0.002393846	0.165004769			0.002279353	0.164873275	0.77040674	0.791627849	Agriculture and natural resources
	Agricultural Economics	3	1238	68157.14286	43531.10556	103154.2786	0.290960009	0.291051252	0.976178146	0.000846667	0.058359673			0.0007631	0.05519758	0.845436243	0.847459951	Agriculture and natural resources
	Animal Sciences	3	3917	55703.31043	36385.42857	85000	0.392392051	0.387110987	0.973018937	0.002774442	0.191238734			0.002660273	0.192426559	0.764536172	0.790312267	Agriculture and natural resources
	Food Science	3	797	68157.14286	43455.02846	103154.2786	0.402678225	0.411472493	0.959902288	0.000640779	0.044168062			0.000662535	0.047923421	0.783433952	0.849100789	Agriculture and natural resources
	Plant Science and Agronomy	3	2565	55000	38000	82523.42286	0.267452061	0.269091289	0.974093707	0.001871216	0.128980569			0.001773107	0.128254834	0.779931504	0.81505423	Agriculture and natural resources
	Soil Science	3	216	68000	46728.8882	94371.42857	0.317879362	0.332447408	0.961036824	0.000153251	0.010563419			0.000147006	0.010633416	0.804585792	0.89532053	Agriculture and natural resources
	Miscellaneous Agriculture	3	3253	55000	39845.71429	82523.42286	0.173630918	0.17682915	0.973172344	0.00222951	0.15367731			0.002050027	0.148285356	0.810130181	0.825119645	Agriculture and natural resources
	Forestry	3	2100	62675.52182	46419.42536	89744.22236	0.257573082	0.25880703	0.967413146	0.001502534	0.10356779			0.00139763	0.101095291	0.859215458	0.885154	Agriculture and natural resources
	Natural Resources Management	3	2871	57000	40952.2486	82523.42286	0.285417557	0.278126533	0.953721572	0.002095493	0.144439676			0.002091846	0.151310268	0.787859506	0.853059868	Agriculture and natural resources
	Architecture	3	8672	67000	46213.1168	96000	0.347525965	0.343702804	0.922628903	0.007219468	0.073112677			0.007313716	0.080473338	0.795861749	0.872998976	Architecture and engineering
	General Engineering	3	14633	83885.71429	56734.85322	117440	0.367036416	0.365923367	0.96000916	0.015070661	0.152622935			0.013714465	0.150901244	0.878305121	0.905885447	Architecture and engineering
	Aerospace Engineering	3	2799	99236.24288	68943.074	126000	0.489934485	0.479372582	0.968928268	0.002261363	0.022901173			0.002045491	0.02250668	0.913598912	0.950301177	Architecture and engineering
	Architectural Engineering	3	532	77365.70893	55363.37761	104857.1429	0.287006389	0.275474235	0.941811414	0.000430812	0.004362896			0.000403906	0.00444421	0.854639057	0.907089524	Architecture and engineering
	Biomedical Engineering	3	2081	73400	47006.64137	113469.7064	0.537798854	0.53230232	0.960693399	0.001678344	0.016996856			0.001619446	0.017818884	0.815983709	0.871319897	Architecture and engineering
	Chemical Engineering	3	7723	99614.28571	68157.14286	136000	0.49452335	0.492942778	0.964460038	0.006189189	0.062678887			0.005657808	0.062253263	0.893866028	0.928569802	Architecture and engineering
	Civil Engineering	3	12555	85000	61892.56715	114905.1233	0.363614788	0.364795883	0.958708266	0.009885974	0.100116805			0.009027753	0.099333015	0.89221213	0.933829517	Architecture and engineering
	Electrical Engineering	3	26840	99236.24288	70000	128000	0.433437049	0.433078599	0.958498496	0.022030335	0.223104642			0.020061396	0.220736981	0.909027351	0.943446178	Architecture and engineering
	"Engineering Mechanics, Physics, and Science"	3	863	91000	61892.56715	131071.4286	0.531398398	0.522987952	0.964150768	0.00068612	0.006948443			0.000618346	0.006803701	0.901236948	0.919078288	Architecture and engineering
	Environmental Engineering	3	656	77594.28571	57452.56167	104857.1429	0.508056544	0.499485328	0.963566055	0.000503205	0.005096034			0.000469638	0.005167461	0.865494437	0.930885067	Architecture and engineering
	Geological and Geophysical Engineering	3	206	99236.24288	67898.48197	130000	0.387612972	0.401398848	0.998429014	0.000155946	0.001579287			0.000150542	0.001656423	0.900980953	0.954226475	Architecture and engineering
	Industrial and Manufacturing Engineering	3	5095	85000	60000	118627.4204	0.403975526	0.405901864	0.957071547	0.004112416	0.041647083			0.003829326	0.042134346	0.87314313	0.918132793	Architecture and engineering
	Mechanical Engineering	3	21004	91924.09867	66060	123261.8596	0.399654087	0.401063421	0.965754766	0.017126997	0.173447778			0.015464726	0.170159488	0.911933572	0.941970793	Architecture and engineering
	Metallurgical Engineering	3	476	99614.28571	67898.48197	130574.0038	0.558478404	0.544328122	0.971343213	0.000365275	0.003699192			0.000330824	0.00364008	0.903677162	0.93740212	Architecture and engineering
	Mining and Mineral Engineering	3	395	96965.02186	63720.11385	130574.0038	0.374743497	0.367786305	0.961905226	0.000298975	0.003027764			0.000265761	0.002924189	0.858890661	0.902057568	Architecture and engineering
	Petroleum Engineering	3	609	125828.5714	82523.42286	208371.6427	0.31845593	0.312308903	0.967876849	0.000486673	0.004928618			0.000437501	0.004813851	0.9179911	0.949661	Architecture and engineering
	Miscellaneous Engineering	3	1963	78642.85714	52229.60152	110000	0.326177905	0.322157254	0.956748039	0.001603174	0.016235591			0.001494956	0.016449109	0.857700997	0.889617475	Architecture and engineering
	Engineering Technologies	3	1116	67050.28107	43300	97517.14286	0.229838572	0.237306868	0.953098839	0.000971689	0.009840444			0.000904781	0.009955372	0.853391301	0.86389543	Architecture and engineering
	Engineering and Industrial Management	3	1081	84586.50843	54318.78558	123785.1343	0.309769471	0.31563019	0.941384971	0.000843699	0.00854427			0.000785542	0.008643378	0.882543857	0.908623705	Architecture and engineering
	Industrial Production Technologies	3	2463	72207.995	51577.13929	100000	0.181572562	0.183072036	0.954649317	0.001988395	0.020136791			0.00181586	0.019980038	0.882917774	0.909918362	Architecture and engineering
	Mechanical Engineering Related Technologies	3	913	67898.48197	47000	93322.85714	0.169335689	0.174346129	0.957164515	0.000736692	0.007460599			0.000682097	0.007505165	0.859662919	0.872078236	Architecture and engineering
	Miscellaneous Engineering Technologies	3	4729	72207.995	49514.05372	99000	0.21138634	0.214894792	0.946114311	0.004099002	0.041511236			0.003789831	0.041699784	0.851716076	0.880372236	Architecture and engineering
	Fine Arts	3	11039	48482.51093	31457.14286	72351.42857	0.229469044	0.23939274	0.931424342	0.009775096	0.299596468			0.010806423	0.29489314	0.661880291	0.727238031	Arts
	Drama and Theater Arts	3	4015	46000	30946.28357	67898.48197	0.275555619	0.266146119	0.922828073	0.003479655	0.106647775			0.004172666	0.113866585	0.633645186	0.692770281	Arts
	Music	3	6802	50331.42857	33628.29482	73400	0.428526373	0.446778102	0.955972559	0.005835646	0.178856444			0.006797193	0.18548649	0.662932361	0.757848183	Arts
	Visual and Performing Arts	3	1126	43118.48845	28203.98482	64000	0.283088638	0.270305539	0.931042187	0.000984249	0.030166203			0.001212865	0.033097488	0.595663711	0.659995451	Arts
	Commercial Art and Graphic Design	3	9691	48895.12805	33554.28571	72207.995	0.100026678	0.100149586	0.931407905	0.008763621	0.268595809			0.009292309	0.253574951	0.697202345	0.757254569	Arts
	"Film, Video, and Photographic Arts"	3	2462	49282.85714	31457.14286	73121.44213	0.159489307	0.169645628	0.919353857	0.002313668	0.070911501			0.002603111	0.071035487	0.667350988	0.724028208	Arts
	Studio Arts	3	1894	41942.85714	28311.42857	62675.52182	0.282522221	0.2777013	0.925986831	0.001475607	0.0452258			0.001760651	0.04804586	0.595207468	0.654675087	Arts
	Environmental Science	3	3667	57671.42857	41261.71143	83000	0.323133967	0.320047163	0.952888367	0.002960408	0.057384718			0.003021626	0.058928458	0.771309411	0.847205536	Biology and life sciences
	Biology	3	40437	72207.995	46419.42536	123785.1343	0.624420212	0.611128671	0.9688812	0.033065399	0.640941699			0.032747205	0.638643742	0.826794616	0.877175827	Biology and life sciences
	Biochemical Sciences	3	4568	78344.40228	49000	135796.964	0.719888298	0.702567093	0.967642554	0.003856511	0.074754845			0.00373635	0.072867189	0.836618116	0.883837667	Biology and life sciences
	Botany	3	613	54318.78558	37748.57143	90000	0.584676803	0.573126046	0.966378323	0.000488025	0.009459903			0.000498796	0.009727627	0.745678553	0.817429712	Biology and life sciences
	Molecular Biology	3	1582	68157.14286	45000	120000	0.682307026	0.655528488	0.969740512	0.001225712	0.023759277			0.001217831	0.023750433	0.809654055	0.862828387	Biology and life sciences
	Ecology	3	1565	52428.57143	36000	78344.40228	0.358080732	0.350239987	0.957490061	0.001207257	0.023401547			0.00127208	0.024808407	0.733817818	0.783453969	Biology and life sciences
	Microbiology	3	3153	72207.995	47006.64137	113000	0.604004045	0.582913202	0.963707043	0.002623387	0.050851897			0.002573172	0.050182608	0.833604842	0.888986506	Biology and life sciences
	Zoology	3	2882	78344.40228	48173.0481	143109.1082	0.668445594	0.645500749	0.969168889	0.002275846	0.044115142			0.002235872	0.043604494	0.827792817	0.876827802	Biology and life sciences
	Neuroscience	3	479	55574.28571	41783.68121	90000	0.754746064	0.716286058	0.963696067	0.000424917	0.008236616			0.000440772	0.008596039	0.788055889	0.845082239	Biology and life sciences
	Miscellaneous Biology	3	4138	64987.1955	42991.42857	104857.1429	0.619959281	0.602257091	0.969737407	0.003461316	0.067094356			0.003532467	0.068891004	0.792403877	0.852761677	Biology and life sciences
	General Business	3	48238	67000	42000	103154.2786	0.22860493	0.22674678	0.953927222	0.046630806	0.20180566			0.043769008	0.200169828	0.826050415	0.855436386	Business
	Accounting	3	51002	70254.28571	47006.64137	104857.1429	0.259408634	0.25418259	0.954449644	0.042954466	0.185895442			0.040163637	0.183681303	0.843144345	0.881677105	Business
	Actuarial Science	3	304	83885.71429	54671.76765	132120	0.194847731	0.205394605	0.968325408	0.000263251	0.001139279			0.000232008	0.001061047	0.901041815	0.911535918	Business
	Business Management and Administration	3	87469	62675.52182	41783.68121	94013.28273	0.211233586	0.20890691	0.947791123	0.072273113	0.312778707			0.068607078	0.313762356	0.821909378	0.854483642	Business
	Operations Logistics and E-Commerce	3	1812	73000	50000	103154.2786	0.233308541	0.230284546	0.960320934	0.001538267	0.006657207			0.001415682	0.006474372	0.866511678	0.895852197	Business
	Business Economics	3	2380	77365.70893	50000	115532.792	0.297163177	0.301145873	0.951560159	0.001886173	0.008162851			0.001756863	0.008034703	0.859713532	0.895128963	Business
	Marketing and Marketing Research	3	27934	61892.56715	41261.71143	96000	0.151307097	0.151908451	0.947348486	0.024510245	0.106073787			0.023983233	0.109683083	0.803753809	0.847958901	Business
	Finance	3	26387	75497.14286	50000	115342.8571	0.287152094	0.283758897	0.954351264	0.023121317	0.100062875			0.021492514	0.098292218	0.867781819	0.902889955	Business
	Human Resources and Personnel Management	3	5594	60000	41261.71143	87681.13679	0.296636838	0.288637951	0.941254137	0.004821269	0.020865163			0.004635211	0.02119832	0.813097451	0.852093422	Business
	International Business	3	2436	62000	41783.68121	94371.42857	0.29770273	0.290911545	0.935754009	0.002146563	0.009289751			0.002158803	0.009872902	0.781147621	0.849105501	Business
	Hospitality Management	3	4548	51380	35000	76000	0.111838066	0.114989919	0.946720372	0.004077753	0.017647427			0.004086067	0.018686908	0.72882592	0.775091796	Business
	Management Information Systems and Statistics	3	5623	77365.70893	52229.60152	104459.203	0.210193438	0.211176373	0.959032743	0.004640344	0.020082167			0.004209942	0.019253426	0.883065874	0.917907928	Business
	Miscellaneous Business and Medical Administration	3	2568	57766.396	39845.71429	90000	0.196117075	0.190107344	0.949000713	0.002204315	0.009539687			0.00214932	0.009829534	0.78631025	0.828818799	Business
	Communications and Mass Media	3	31316	53640.22486	37135.54029	83567.36243	0.209436752	0.211565809	0.940275858	0.02752523	0.678396163			0.02829913	0.682369422	0.75621433	0.809590303	Communications and journalism
	Journalism	3	10730	56407.96964	37605.31309	86649.594	0.237253891	0.234415244	0.948240191	0.009097051	0.224209014			0.009181427	0.22138932	0.76386095	0.811772061	Communications and journalism
	Advertising and Public Relations	3	4668	52608.68207	37748.57143	80000	0.175649167	0.174001772	0.942127068	0.003951695	0.097394824			0.003991304	0.096241258	0.769764633	0.811593017	Communications and journalism
	Computer and Information Systems	3	8435	69000	48234.28571	95000	0.215821003	0.217050822	0.951830183	0.00762559	0.130602122			0.007011089	0.126763181	0.865577499	0.898766023	"Computers, statistics, and mathematics"
	Computer Science	3	28036	83885.71429	58497.1537	114000	0.303358657	0.306760337	0.955499108	0.025242809	0.432329105			0.023398621	0.423056067	0.884803873	0.920403553	"Computers, statistics, and mathematics"
	Information Sciences	3	2758	73121.44213	51577.13929	100000	0.252352784	0.2575482	0.952826619	0.002381162	0.04078173			0.002206456	0.039893568	0.879531922	0.925814639	"Computers, statistics, and mathematics"
	Computer Engineering	3	6326	88790.32258	63720.11385	117595.8776	0.372559546	0.369755724	0.958443852	0.005513143	0.094422613			0.005078122	0.091814402	0.89736267	0.940513302	"Computers, statistics, and mathematics"
	Miscellaneous Computer	3	5046	59768.57143	40230.16865	87681.13679	0.176762093	0.173896446	0.932007849	0.004446775	0.076159131			0.004371563	0.079039533	0.792445542	0.835535503	"Computers, statistics, and mathematics"
	Mathematics	3	14351	77365.70893	50000	114000	0.497154077	0.501401171	0.958720126	0.011662761	0.199746035			0.011761082	0.212644889	0.834890471	0.895463228	"Computers, statistics, and mathematics"
	Applied Mathematics	3	890	90000	56622.85714	125828.5714	0.503527284	0.497783836	0.959433818	0.000687496	0.011774624			0.000675316	0.012209976	0.856567103	0.925655713	"Computers, statistics, and mathematics"
	Statistics and Decision Science	3	980	82523.42286	55363.37761	117595.8776	0.512202447	0.506919406	0.95195774	0.000828212	0.014184641			0.000806309	0.014578384	0.840011827	0.918526897	"Computers, statistics, and mathematics"
	General Education	3	31305	50000	37000	67108.57143	0.460555611	0.454027817	0.963991181	0.030117676	0.30292228			0.032112927	0.288000465	0.775394067	0.807781962	Education
	Elementary Education	3	37887	47185.71429	36700	61892.56715	0.471413265	0.456897603	0.972756109	0.02747644	0.276356834			0.032855915	0.294663854	0.760034417	0.81195422	Education
	Mathematics Teacher Education	3	2457	53274.19355	41261.71143	72000	0.548427885	0.534205344	0.978118488	0.001822791	0.018333554			0.002068138	0.018547821	0.83306063	0.878892765	Education
	Physical and Health Education Teaching	3	8474	54318.78558	40000	74271.08058	0.395800705	0.393991707	0.968463335	0.006447598	0.064849663			0.0069201	0.062061987	0.786013059	0.830783514	Education
	Early Childhood Education	3	4420	42000	31457.14286	55000	0.389934599	0.373558643	0.963666212	0.003513945	0.035343101			0.004167699	0.037377448	0.690120838	0.715893434	Education
	Science and Computer Teacher Education	3	1926	53640.22486	40230.16865	72207.995	0.523551323	0.519478372	0.969592465	0.001406679	0.014148314			0.001562019	0.014008755	0.817442989	0.858745108	Education
	Secondary Teacher Education	3	6424	53000	40843.54839	72076.8501	0.48711646	0.480685993	0.970254018	0.004772529	0.048001886			0.005097777	0.045718726	0.809482674	0.860746938	Education
	Special Needs Education	3	6751	52229.60152	41261.71143	68000	0.586920386	0.576790464	0.971286355	0.00515717	0.051870592			0.005982731	0.05365532	0.815829292	0.875082791	Education
	Social Science or History Teacher Education	3	3496	52229.60152	38649.90512	73000	0.473864879	0.459289887	0.969729491	0.002593906	0.026089394			0.002850813	0.025567135	0.788629369	0.830577165	Education
	Teacher Education: Multiple Levels	3	2670	47185.71429	36103.9975	62000	0.452015293	0.435144574	0.975316089	0.001923422	0.019345696			0.002193814	0.019674926	0.775409544	0.80076379	Education
	Language and Drama Education	3	5273	51577.13929	39321.42857	68000	0.543686093	0.52953821	0.96636161	0.003940511	0.039633491			0.004593319	0.041194567	0.769070408	0.84167894	Education
	Art and Music Education	3	6347	50140.41746	36700	66060	0.464431527	0.455985297	0.971221853	0.004916171	0.049446636			0.005595599	0.050183376	0.749291994	0.805534054	Education
	Miscellaneous Education	3	7239	56734.85322	41783.68121	77365.70893	0.524269069	0.522331331	0.968152277	0.005334937	0.05365856			0.005502187	0.049345619	0.820313092	0.864746214	Education
	Nutrition Sciences	3	1901	54318.78558	38272.85714	82523.42286	0.440115719	0.426160839	0.960882699	0.001627747	0.022064596			0.001783272	0.02381192	0.722757791	0.811293847	Health
	Communication Disorders Sciences and Services	3	4774	60000	44500	78642.85714	0.791447451	0.781326444	0.981737433	0.003767744	0.051072893			0.004344908	0.058017282	0.815416505	0.889216016	Health
	Health and Medical Administrative Services	3	3486	58898.96939	41000	86649.594	0.30530703	0.295633866	0.954757773	0.002902233	0.039340628			0.002777254	0.037084495	0.814617525	0.84981032	Health
	Health and Medical Preparatory Programs	3	1964	103154.2786	53477.14286	208918.4061	0.814295499	0.798465604	0.970776624	0.001718836	0.023299329			0.001656411	0.022117953	0.852949055	0.898617623	Health
	Nursing	3	46336	67898.48197	50545.5965	88712.67958	0.249137735	0.240536002	0.978506442	0.0394787	0.535145548			0.039617255	0.529006651	0.865842855	0.919466404	Health
	Pharmacy and Pharmaceutical Sciences and Administration	3	6718	109343.5353	80000	130022.8571	0.524625027	0.515452988	0.974784419	0.005535743	0.075038642			0.005321785	0.071061454	0.895990822	0.939564036	Health
	Treatment Therapy Professions	3	8671	63955.65272	44917.45731	83885.71429	0.404687159	0.389492197	0.980595729	0.007225487	0.097943626			0.007587158	0.101310837	0.808173899	0.870947644	Health
	Miscellaneous Health Medical Professions	3	13557	58797.93879	41365.8444	83567.36243	0.356740042	0.342699807	0.968603348	0.011515404	0.156094738			0.011801855	0.157589408	0.790925343	0.855113303	Health
	Area Ethnic and Civilization Studies	3	3452	59000	40000	97996.56465	0.487130484	0.478281299	0.944442722	0.002780701	0.031893343			0.003072391	0.033141054	0.72425343	0.829999553	Humanities and liberal arts
	Linguistics and Comparative Language and Literature	3	1928	54671.76765	36000	85656.54649	0.502774952	0.494961982	0.93428945	0.001679057	0.019258005			0.001917769	0.020686452	0.681434264	0.778670393	Humanities and liberal arts
	"French, German, Latin and other common Foreign Language Studies"	3	6708	55574.28571	39426.28571	83000	0.497542771	0.488263181	0.953608812	0.005482675	0.06288372			0.006108553	0.065891305	0.738701421	0.826678401	Humanities and liberal arts
	Other Foreign Languages	3	1666	55363.37761	35861.14286	88000	0.493758515	0.489402671	0.942438087	0.001350883	0.015494			0.001458183	0.015729027	0.700559045	0.776699685	Humanities and liberal arts
	English Language and Literature	3	30570	56407.96964	38270.23735	84934.28571	0.449403217	0.446416661	0.947292713	0.02530794	0.29027026			0.027393124	0.295482222	0.738267286	0.812653741	Humanities and liberal arts
	Composition and Speech	3	1562	49095.82543	33554.28571	74271.08058	0.309238761	0.322126065	0.94369995	0.001303967	0.014955891			0.001457706	0.015723884	0.683597956	0.756655201	Humanities and liberal arts
	Liberal Arts	3	14630	53477.14286	36490.28571	82000	0.261685876	0.263408193	0.943698487	0.01275259	0.146266262			0.013590624	0.146598384	0.730332945	0.789326246	Humanities and liberal arts
	Humanities	3	1203	52428.57143	35000	82523.42286	0.395648255	0.380728961	0.923671599	0.000965894	0.01107835			0.001091037	0.011768715	0.705526388	0.775520364	Humanities and liberal arts
	Multi/Interdisciplinary Studies	3	1059	47185.71429	36490.28571	62914.28571	0.282566093	0.268905683	0.94126139	0.000846087	0.009704218			0.000917456	0.00989635	0.731823333	0.803780352	Humanities and liberal arts
	Intercultural and International Studies	3	1661	55000	36700	85000	0.422215912	0.41651471	0.935194727	0.001372115	0.015737523			0.001550695	0.016726926	0.702045976	0.786904165	Humanities and liberal arts
	Philosophy and Religious Studies	3	7716	55574.28571	36103.9975	90000	0.571732932	0.551891262	0.9462843	0.006350648	0.072838973			0.006596746	0.071157315	0.714613114	0.779641988	Humanities and liberal arts
	Theology and Religious Vocations	3	7385	42000	29398.96939	61892.56715	0.413447237	0.40076757	0.964207969	0.005780182	0.066295991			0.005761412	0.062146789	0.662583993	0.674950767	Humanities and liberal arts
	Art History and Criticism	3	2334	52229.60152	34784.91461	82523.42286	0.415401778	0.41037163	0.93732874	0.001924807	0.022076635			0.00214277	0.023113484	0.67660357	0.767099686	Humanities and liberal arts
	History	3	23767	62675.52182	41261.71143	100000	0.476107057	0.467266508	0.948106265	0.019289959	0.22124683			0.01964804	0.211938094	0.776488225	0.834771759	Humanities and liberal arts
	Family and Consumer Sciences	3	8404	46419.42536	32382.35294	67050.28107	0.306233268	0.298312004	0.95756889	0.006673541	0.307681341			0.007621011	0.337304296	0.674220043	0.737981626	"Industrial arts, consumer <br> services, and recreation"
	Military Technologies	3	90	70000	41261.71143	94013.28273	0.342099496	0.32261851	0.960462646	7.56598E-05	0.003488269			7.33406E-05	0.003246039	0.80993228	0.879026956	"Industrial arts, consumer <br> services, and recreation"
	"Physical Fitness, Parks, Recreation, and Leisure"	3	10241	50000	35072.45472	71000	0.290468854	0.286705734	0.962401203	0.008717542	0.401919274			0.008920679	0.394827324	0.737383193	0.780160723	"Industrial arts, consumer <br> services, and recreation"
	Miscellaneous Industrial Arts and Consumer Services	3	3549	61892.56715	40634.62998	90000	0.099587744	0.101696605	0.942130353	0.003181443	0.146679321			0.0030562	0.135266751	0.800624039	0.829812739	"Industrial arts, consumer <br> services, and recreation"
	Transportation Sciences and Technologies	3	3522	73121.44213	46419.42536	103154.2786	0.171846465	0.163249815	0.960852452	0.003041597	0.140231795			0.002922644	0.12935559	0.867753352	0.878475989	"Industrial arts, consumer <br> services, and recreation"
	Pre-Law and Legal Studies	3	2059	55000	38000	82523.42286	0.320075709	0.313081933	0.937166794	0.00194482	0.080945164			0.001916756	0.084722123	0.776344383	0.809183995	Law and public policy
	Criminal Justice and Fire Protection	3	22347	55000	38000	80000	0.205124658	0.204557229	0.955165532	0.019775115	0.823058099			0.018495821	0.81753007	0.808421586	0.821831404	Law and public policy
	Public Administration	3	2011	65000	44499.62049	98565.71429	0.457879135	0.454192026	0.939121628	0.001742422	0.072521183			0.001650557	0.07295595	0.84788182	0.886320057	Law and public policy
	Public Policy	3	704	73239.53779	51577.13929	115342.8571	0.579542281	0.56743291	0.964508598	0.000564033	0.023475554			0.000560892	0.024791857	0.854165929	0.908353299	Law and public policy
	Multidisciplinary or General Science	3	11602	63720.11385	41942.85714	100000	0.32872667	0.325436764	0.9595422	0.011252278	0.330104774			0.010997307	0.334786168	0.815458617	0.85103707	Physical sciences
	Physical Sciences	3	315	65809.29791	40112.33397	104459.203	0.443033281	0.447781448	0.964197592	0.000268291	0.007870785			0.000258642	0.007873733	0.828788693	0.826365069	Physical sciences
	Astronomy and Astrophysics	3	228	85000	53274.19355	122000	0.675084908	0.666606485	0.955511335	0.000190401	0.00558575			0.000183395	0.005582998	0.799234491	0.855873901	Physical sciences
	Atmospheric Sciences and Meteorology	3	622	70254.28571	45088.57143	103154.2786	0.426866913	0.440520884	0.972119308	0.000518352	0.015206733			0.000478022	0.014552204	0.839371061	0.869392064	Physical sciences
	Chemistry	3	14284	83567.36243	51000	128974.2857	0.64145986	0.632253472	0.966076491	0.011621325	0.34093139			0.011107262	0.338133467	0.850338315	0.898009704	Physical sciences
	Geology and Earth Science	3	4382	73400	49095.82543	110000	0.471849384	0.467166195	0.958064724	0.003363868	0.098684822			0.003246164	0.098821531	0.839323454	0.897416118	Physical sciences
	Geosciences	3	422	73400	48000	110000	0.543545478	0.543563209	0.964896299	0.000321757	0.009439299			0.000308434	0.009389533	0.83283236	0.88242721	Physical sciences
	Oceanography	3	481	74166.03416	48051.2334	106000	0.484037172	0.455643188	0.9642179	0.000352391	0.010337991			0.000338373	0.010300949	0.841223555	0.897870839	Physical sciences
	Physics	3	6707	90000	54525.71429	125828.5714	0.699157443	0.684650796	0.96318986	0.005533894	0.162346219			0.005293701	0.16115379	0.841760593	0.885105739	Physical sciences
	"Nuclear, Industrial Radiology, and Biological Technologies"	3	811	75302.62336	51577.13929	104857.1429	0.467139987	0.470205693	0.965490829	0.000664432	0.019492238			0.000637451	0.019405627	0.85798878	0.902374506	Physical sciences
	Psychology	3	52323	52428.57143	36700	79388.99431	0.482857763	0.476061381	0.950690249	0.044496065	0.784836591			0.046946294	0.789859766	0.74695906	0.801530259	Psychology and social work
	Industrial and Organizational Psychology	3	603	67898.48197	46419.42536	99000	0.452952986	0.441057695	0.93453527	0.000495528	0.008740286			0.000514901	0.008663075	0.783818196	0.873598795	Psychology and social work
	Social Psychology	3	303	51577.13929	38000	80000	0.421698839	0.400945757	0.904486752	0.000247814	0.00437102			0.000264675	0.004453093	0.756930544	0.84868355	Psychology and social work
	Human Services and Community Organization	3	2266	41261.71143	30946.28357	58497.1537	0.273250078	0.272925166	0.932383275	0.001915919	0.033793628			0.001983461	0.033371234	0.689210665	0.687419947	Psychology and social work
	Social Work	3	11248	45962.04934	34040.91193	61892.56715	0.475460771	0.465059819	0.954664765	0.009539362	0.168258475			0.009726909	0.163652833	0.732294009	0.765826806	Psychology and social work
	Interdisciplinary Social Sciences	3	1764	51000	35966	76334.16615	0.349957379	0.342897493	0.947458447	0.001419993	0.018777837			0.001495804	0.01985723	0.741453351	0.796348626	Social sciences
	General Social Sciences	3	3147	54318.78558	37605.31309	82523.42286	0.34354761	0.333809585	0.93907577	0.002564052	0.033906736			0.002692894	0.035748957	0.748069584	0.805986944	Social sciences
	Economics	3	24638	83885.71429	51577.13929	140000	0.418473805	0.41748705	0.950561851	0.021043317	0.278274498			0.020250764	0.2688348	0.838730775	0.888795341	Social sciences
	Anthropology and Archeology	3	4529	52428.57143	36103.9975	82837.14286	0.46581083	0.455466469	0.94407874	0.003679806	0.048661345			0.00401076	0.053244011	0.70750393	0.780092102	Social sciences
	Criminology	3	2060	52428.57143	36700	78642.85714	0.207855787	0.209407408	0.951926492	0.001817096	0.024029071			0.00171323	0.022743622	0.788265671	0.810841516	Social sciences
